장소,분류,별점,주소,상호 번호
우프,"제과,베이커리",4.8,"
서울 송파구 백제고분로41길 25 1층 102호
(지번) 송파동 12-3
",
카페코너574,카페,,"
서울 송파구 오금로16길 10-12 잠실레이크 1층 101호
(지번) 송파동 57-4
",02-418-1991
제시스피자,피자,4.3,"
서울 송파구 백제고분로41길 26 1층 103호
(지번) 송파동 26
",070-8780-5552
정양집 송리단길점,"육류,고기",4.2,"
서울 송파구 백제고분로41길 43-11 1층
(지번) 송파동 8-8
",02-418-6945
야들리애치킨 석촌호수점,치킨,4.3,"
서울 송파구 석촌호수로 262 1층
(지번) 송파동 7-4
",02-419-9999
꾸아 송파점,베트남음식,3.3,"
서울 송파구 백제고분로45길 22-1 2층
(지번) 송파동 54-13
",
광화문등심 석촌호수점,"육류,고기",2.9,"
서울 송파구 석촌호수로 296 대성빌딩 5층
(지번) 송파동 58
",02-423-3314
금금 송리단길점,한식,4.0,"
서울 송파구 백제고분로41길 38 1층
(지번) 송파동 29-6
",
또올래곱창,"곱창,막창",2.6,"
서울 송파구 백제고분로45길 36 1층 1호
(지번) 송파동 57-6
",02-423-5692
어니커피,커피전문점,4.5,"
서울 송파구 송파대로48길 5-1
(지번) 송파동 8-6
",
앨리나인,와인바,4.7,"
서울 송파구 송파대로48길 19 1층
(지번) 송파동 30-9
",02-418-0623
카페다반,카페,4.4,"
서울 송파구 백제고분로45길 26 지하1층
(지번) 송파동 55-11
",02-419-6859
미도인 송리단길,양식,4.1,"
서울 송파구 백제고분로45길 29 2층 201호
(지번) 송파동 37-2
",02-415-2502
팔각동,일식집,3.8,"
서울 송파구 송파대로48길 7 세영빌딩 1층 104호
(지번) 송파동 8-13
",02-415-8884
불타니한우,"육류,고기",4.1,"
서울 송파구 오금로 126
(지번) 송파동 58-4
",02-2202-0322
방콕언니,태국음식,4.5,"
서울 송파구 송파대로48길 7 1층
(지번) 송파동 8-13
",02-416-0566
육장정,국밥,4.5,"
서울 송파구 오금로16길 9-1 1층
(지번) 송파동 55-5
",
메가MGC커피 석촌호수사거리점,커피전문점,3.8,"
서울 송파구 송파대로 474 1층
(지번) 송파동 7-7
",02-425-0656
키키네케이크,"제과,베이커리",4.5,"
서울 송파구 오금로 130 4층
(지번) 송파동 58-7
",
고동함박 송리단길점,양식,4.1,"
서울 송파구 백제고분로41길 36-6 1층
(지번) 송파동 28-15
",
투썸플레이스 송파나루역점,커피전문점,3.1,"
서울 송파구 오금로 154 한라빌딩 1층
(지번) 송파동 48-11
",02-6925-2113
SAVVY,카페,4.2,"
서울 송파구 백제고분로41길 35-24 1층
(지번) 송파동 9-3
",010-9294-2512
숨쉴틈,"호프,요리주점",4.8,"
서울 송파구 백제고분로45길 12
(지번) 송파동 51-10
",
천하일미강정치킨,치킨,4.8,"
서울 송파구 오금로 146 1층 1-1호
(지번) 송파동 59-11
",02-422-1554
요미우돈교자 송리단길점,일식,3.4,"
서울 송파구 백제고분로45길 12 1층
(지번) 송파동 51-10
",
남한강다슬기해장국,해장국,3.4,"
서울 송파구 오금로 144
(지번) 송파동 59-10
",02-417-2786
포케올데이 잠실점,샐러드,4.5,"
서울 송파구 백제고분로 425 2층 202호
(지번) 송파동 48-19
",02-424-2004
도이티,중식,4.9,"
서울 송파구 백제고분로45길 14-18 1층 101호
(지번) 송파동 51
",070-8230-8175
연주방 송리단길점,"호프,요리주점",5.0,"
서울 송파구 백제고분로45길 22-17 2층
(지번) 송파동 54-1
",
모타운 서울,카페,,"
서울 송파구 백제고분로45길 34-6 1층
(지번) 송파동 56
",02-419-1222
카페마달,카페,3.0,"
서울 송파구 백제고분로45길 23-5 1층
(지번) 송파동 39-19
",070-4123-0420
긴자료코 석촌호수점,"돈까스,우동",4.1,"
서울 송파구 백제고분로41길 33 1층 101호
(지번) 송파동 10-7
",02-420-5155
블루웨일,카페,4.3,"
서울 송파구 백제고분로41길 30 윤창빌딩 1층
(지번) 송파동 27-12
",02-2203-2006
벌스데이,아이스크림,5.0,"
서울 송파구 백제고분로45길 4-21 1층
(지번) 송파동 49-3
",070-8240-0992
구스따레 일 젤라또,아이스크림,3.9,"
서울 송파구 송파대로48길 37 1층
(지번) 송파동 33
",02-425-2511
우마담호수,"육류,고기",3.7,"
서울 송파구 백제고분로41길 43-9 1층
(지번) 송파동 8-9
",070-4184-4998
종로빈대떡 석촌점,한식,4.3,"
서울 송파구 백제고분로41길 31 1층
(지번) 송파동 11-1
",02-424-6354
스시이안앤 송리단길점,"초밥,롤",4.3,"
서울 송파구 석촌호수로 290 2층 201호
(지번) 송파동 58-18
",02-417-8640
바렌나 에스프레소 바,카페,3.3,"
서울 송파구 백제고분로 435
(지번) 송파동 48-7
",
도쿠센 송파점,"육류,고기",3.8,"
서울 송파구 오금로16길 5 1층 102호
(지번) 송파동 55
",02-422-5494
깊은맛남원추어탕,추어,3.8,"
서울 송파구 백제고분로41길 41 1층
(지번) 송파동 8-3
",
맨프롬오키나와 송파,칵테일바,4.3,"
서울 송파구 백제고분로45길 24-18 2층 201호
(지번) 송파동 54
",010-8519-0440
세련,카페,2.8,"
서울 송파구 백제고분로45길 8-1 1층
(지번) 송파동 50-8
",
평화김해뒷고기 석촌호수점,"육류,고기",3.8,"
서울 송파구 백제고분로41길 40 부영빌딩 1층
(지번) 송파동 29
",02-423-0355
야심작,"호프,요리주점",3.5,"
서울 송파구 오금로18길 4 I.D.C빌딩 2층
(지번) 송파동 59-13
",070-8287-1804
소마드로잉카페 송리단길점,테마카페,5.0,"
서울 송파구 오금로16길 10 목연빌딩 지하 1층
(지번) 송파동 57-11
",02-421-4244
오터,디저트카페,4.4,"
서울 송파구 송파대로 458 해광빌딩 1층 103호
(지번) 송파동 15-3
",010-3596-6920
큰손칼국수,칼국수,4.0,"
서울 송파구 백제고분로41길 21-24 1층 102호
(지번) 송파동 12-5
",02-419-9954
질할브로스 송파점,양식,4.1,"
서울 송파구 백제고분로45길 25 1층
(지번) 송파동 38-3
",02-423-1422
폼커피,카페,4.5,"
서울 송파구 석촌호수로 258 1층 102호
(지번) 송파동 7-1
",02-6287-6287
파파존스 송파구청점,피자,2.5,"
서울 송파구 석촌호수로 298
(지번) 송파동 58-1
",02-412-1472
이디야커피 석촌역점,커피전문점,2.3,"
서울 송파구 송파대로 456
(지번) 송파동 15-4
",02-424-0247
커피공작소,커피전문점,4.9,"
서울 송파구 백제고분로41길 42-16
(지번) 송파동 30-6
",
그곁,한식,4.8,"
서울 송파구 오금로18길 14 1층
(지번) 송파동 51-9
",02-417-8666
그릭앤,디저트카페,4.3,"
서울 송파구 오금로16길 12 1층 102호
(지번) 송파동 56-6
",070-8282-4724
수작소한마리떡볶이,떡볶이,5.0,"
서울 송파구 오금로18길 6 1층 104호
(지번) 송파동 51-2
",02-422-3539
마이서울바이츠,카페,,"
서울 송파구 석촌호수로 258 잠실아르누보팰리스 1층
(지번) 송파동 7-1
",02-2202-0709
타임투칠,와인바,4.2,"
서울 송파구 백제고분로45길 24-18 1층
(지번) 송파동 54
",
테이블하나,양식,4.7,"
서울 송파구 백제고분로45길 14-18 1층
(지번) 송파동 51
",02-422-4580
란슬롯,술집,4.0,"
서울 송파구 오금로16길 10-6
(지번) 송파동 57-3
",
류센소 송리단길점,일본식라면,4.5,"
서울 송파구 오금로16길 10-8 1층 102호
(지번) 송파동 57-16
",02-420-8880
테미즈,디저트카페,4.5,"
서울 송파구 백제고분로45길 38-9 1층 101호
(지번) 송파동 58-14
",070-7677-2211
샐러디치 오도씨 송파본점,샐러드,4.7,"
서울 송파구 송파대로48길 7 1층
(지번) 송파동 8-13
",02-421-5556
레브어,양식,4.4,"
서울 송파구 백제고분로45길 6 1층
(지번) 송파동 49-5
",070-7547-9784
빠아빠,카페,3.6,"
서울 송파구 백제고분로45길 20 1층
(지번) 송파동 53-10
",
무슈오,카페,4.4,"
서울 송파구 백제고분로 425 1층
(지번) 송파동 48
",
레드감바스,양식,4.2,"
서울 송파구 백제고분로41길 26 1층 102호
(지번) 송파동 26
",02-424-4200
모르텐 앤 닐스 버터하우스,디저트카페,3.6,"
서울 송파구 백제고분로41길 39 1층 101호
(지번) 송파동 9-9
",
에낭 잠실점,"제과,베이커리",4.6,"
서울 송파구 오금로18길 14 1층
(지번) 송파동 51-9
",
거기활어회,회,4.0,"
서울 송파구 백제고분로45길 14
(지번) 송파동 51-7
",02-415-3090
코르크서울 레코드바,와인바,4.5,"
서울 송파구 백제고분로45길 22 201호
(지번) 송파동 53-9
",070-4067-2448
케이쿠키,"제과,베이커리",3.8,"
서울 송파구 백제고분로45길 31 1층
(지번) 송파동 37-11
",
모녀다방,커피전문점,4.8,"
서울 송파구 백제고분로41길 40
(지번) 송파동 29
",02-419-2191
맛있는집기사식당,한식,4.8,"
서울 송파구 오금로 146 1층
(지번) 송파동 59-11
",02-419-8483
오프트 송파점,떡볶이,4.4,"
서울 송파구 백제고분로41길 36 2층
(지번) 송파동 28
",
투팔스(2pals),"육류,고기",3.3,"
서울 송파구 백제고분로41길 36 1층
(지번) 송파동 28
",
파스티,와인바,4.9,"
서울 송파구 백제고분로45길 22-1 1층 104호
(지번) 송파동 54-13
",
가온사주앤타로,사주카페,4.3,"
서울 송파구 백제고분로45길 16 1층 102호
(지번) 송파동 52-17
",010-2836-2011
니드스윗 송파,디저트카페,3.9,"
서울 송파구 백제고분로45길 22-1
(지번) 송파동 54-13
",
가시리,한식,3.0,"
서울 송파구 백제고분로45길 38-16
(지번) 송파동 57-8
",02-419-6641
솔트,양식,4.2,"
서울 송파구 백제고분로45길 30 102호
(지번) 송파동 56-2
",070-7633-0373
올더웨이,햄버거,4.7,"
서울 송파구 백제고분로41길 25 1층 101호
(지번) 송파동 12-3
",070-7755-9211
치유의과정,테마카페,3.0,"
서울 송파구 백제고분로45길 21-1 지하1층
(지번) 송파동 39-9
",
빠레트한남 석촌호수점,양식,2.0,"
서울 송파구 오금로16길 10 1층
(지번) 송파동 57-11
",
망원동티라미수 송리단길점,디저트카페,3.1,"
서울 송파구 백제고분로45길 22 1층 102호
(지번) 송파동 53-9
",02-2202-1162
트레져,칵테일바,4.5,"
서울 송파구 백제고분로 425 2층 201호
(지번) 송파동 48-19
",010-2898-4819
가배유정,카페,5.0,"
서울 송파구 오금로18길 8 1층 101호
(지번) 송파동 51-3
",02-6409-6497
포청천,중국요리,3.7,"
서울 송파구 백제고분로41길 43-15
(지번) 송파동 8-1
",02-3432-5582
도토리편백집 석촌호수점,"육류,고기",5.0,"
서울 송파구 백제고분로45길 38
(지번) 송파동 57
",02-415-7888
싼횟집,회,2.0,"
서울 송파구 송파대로 458
(지번) 송파동 15-3
",02-423-8139
이오로 비스트로 송파점,일식집,4.7,"
서울 송파구 오금로16길 10-6 1층
(지번) 송파동 57-3
",02-424-0702
한솥도시락 잠실석촌호수점,도시락,2.6,"
서울 송파구 송파대로 456
(지번) 송파동 15-4
",02-3432-8100
앙과,디저트카페,4.6,"
서울 송파구 오금로18길 10
(지번) 송파동 51-4
",02-6013-1568
커피랑도서관 송파나루역점,북카페,3.0,"
서울 송파구 오금로 154 한라빌딩 1동 4층 1호
(지번) 송파동 48-11
",070-4123-1140
원디아더,카페,4.3,"
서울 송파구 오금로16길 16 1,2층
(지번) 송파동 37-4
",070-8818-2022
고래사냥포차,실내포장마차,4.7,"
서울 송파구 백제고분로41길 26 1층 101호
(지번) 송파동 26
",
을지로골뱅이,한식,3.7,"
서울 송파구 백제고분로41길 28
(지번) 송파동 27-8
",02-5566-8585
목금,양식,4.0,"
서울 송파구 오금로18길 10 1층 103호
(지번) 송파동 51-4
",010-6301-0990
나아만 족욕카페,테마카페,5.0,"
서울 송파구 백제고분로45길 30 3층 302호
(지번) 송파동 56-2
",070-4001-1440
매끼야,일본식주점,4.0,"
서울 송파구 오금로18길 6 1층 106호
(지번) 송파동 51-2
",02-6465-0812
카페스미냑,카페,3.5,"
서울 송파구 백제고분로45길 14-18
(지번) 송파동 51
",
프랭크커핀바 잠실점,카페,4.2,"
서울 송파구 백제고분로45길 6 2층 201호
(지번) 송파동 49-5
",0507-1444-1677
사운드브라버스,칵테일바,5.0,"
서울 송파구 오금로18길 10 지하1층
(지번) 송파동 51-4
",010-6669-5499
우양돈 송리단길점,"육류,고기",0.0,"
서울 송파구 백제고분로45길 32 1층
(지번) 송파동 56-7
",
치킨89 석촌점,치킨,4.8,"
서울 송파구 송파대로 458 1층
(지번) 송파동 15-3
",
가은사주앤타로,사주카페,3.5,"
서울 송파구 백제고분로45길 31 용진빌딩 1층
(지번) 송파동 37-11
",010-7516-7131
쏘머sommer,"제과,베이커리",4.7,"
서울 송파구 오금로18길 12 2층
(지번) 송파동 51-8
",010-9829-0041
비처럼와인처럼 동호점,와인바,2.2,"
서울 송파구 백제고분로45길 40 1층
(지번) 송파동 58-15
",
성가백암순대,순대,2.5,"
서울 송파구 백제고분로41길 42-11
(지번) 송파동 32-3
",
호이지아,중식,5.0,"
서울 송파구 백제고분로45길 23 1층 105호
(지번) 송파동 39-3
",070-8872-5552
11-1 OCIC,카페,3.9,"
서울 송파구 백제고분로41길 31 2층 202호
(지번) 송파동 11-1
",010-8004-8421
64김만두,분식,5.0,"
서울 송파구 송파대로 456 103호
(지번) 송파동 15-4
",02-423-2780
인플런스,카페,5.0,"
서울 송파구 백제고분로45길 31 용진빌딩 지하1층
(지번) 송파동 37-11
",010-7577-3417
장어왕국,장어,0.0,"
서울 송파구 송파대로 468
(지번) 송파동 15
",02-417-5535
킹찌개찌개,"찌개,전골",4.0,"
서울 송파구 백제고분로45길 27 1층
(지번) 송파동 38
",
백워리,디저트카페,5.0,"
서울 송파구 백제고분로45길 4-14 1층
(지번) 송파동 48-6
",
플랫어스,"호프,요리주점",4.0,"
서울 송파구 백제고분로45길 32
(지번) 송파동 56-7
",
비정제,카페,5.0,"
서울 송파구 오금로18길 9 지하1층
(지번) 송파동 50-11
",070-8699-5357
